Date,GOLD_Ensemble_Master,GOLD_Ensemble_Rank_1,GOLD_Current_Level
2026-05-15,4716.8167,4616.4596,4724.2
2026-05-22,4715.6842,4511.1763,4724.2
2026-05-29,4737.3361,4408.2941,4724.2
2026-06-05,4737.1768,4370.6035,4724.2
2026-06-12,4727.9779,4355.6275,4724.2
2026-06-19,4718.7234,4401.0843,4724.2
2026-06-26,4721.4987,4422.2364,4724.2
2026-07-03,4682.5924,4390.308,4724.2
2026-07-10,4634.1562,4391.7527,4724.2
2026-07-17,4586.4649,4331.9313,4724.2
2026-07-24,4640.9593,4335.9651,4724.2
2026-07-31,4729.4188,4448.2482,4724.2
