Date,SP500_Ensemble_Master,SP500_Ensemble_Rank_1,SP500_Current_Level
2026-05-15,7461.8034,7466.021,7398.9
2026-05-22,7367.3741,7448.9052,7398.9
2026-05-29,7404.813,7356.2822,7398.9
2026-06-05,7352.6486,7305.7151,7398.9
2026-06-12,7307.4262,7177.789,7398.9
2026-06-18,7229.225,6911.273,7398.9
2026-06-26,7164.8134,6887.183,7398.9
2026-07-03,7120.5214,6763.057,7398.9
2026-07-10,7098.2351,6616.7045,7398.9
2026-07-17,7124.6138,6683.9906,7398.9
2026-07-24,7129.3871,6741.988,7398.9
2026-07-31,7123.095,6997.6476,7398.9
