Date,USDJPY_Ensemble_Master,USDJPY_Ensemble_Rank_1,USDJPY_Current_Level
2026-05-15,156.5241,154.4143,156.7315
2026-05-22,156.0571,153.1569,156.7315
2026-05-29,155.9463,150.4987,156.7315
2026-06-05,156.3079,149.7623,156.7315
2026-06-12,157.503,150.7522,156.7315
2026-06-19,158.519,151.6327,156.7315
2026-06-26,158.0526,150.1858,156.7315
2026-07-03,158.1537,150.1498,156.7315
2026-07-10,157.8626,150.3493,156.7315
2026-07-17,158.2076,150.5329,156.7315
2026-07-24,158.7463,150.7716,156.7315
2026-07-31,158.2984,151.252,156.7315
