Date,USDKRW_Ensemble_Master,USDKRW_Ensemble_Rank_1,USDKRW_Current_Level
2026-05-15,1474.0265,1463.5331,1468.36
2026-05-22,1469.644,1461.424,1468.36
2026-05-29,1469.6463,1459.318,1468.36
2026-06-05,1471.0844,1454.5208,1468.36
2026-06-12,1470.249,1449.7394,1468.36
2026-06-19,1468.4009,1451.9966,1468.36
2026-06-26,1469.6537,1465.1204,1468.36
2026-07-03,1469.4441,1478.3628,1468.36
2026-07-10,1472.8218,1488.0534,1468.36
2026-07-17,1477.9602,1495.6486,1468.36
2026-07-24,1476.677,1505.4525,1468.36
2026-07-31,1470.7181,1500.0752,1468.36
